model,seed,curiosity,w_epistemic,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,action_entropy,move_ratio,turn_ratio,turn_in_place_rate,blocked_forward_rate,true_stall_rate,revisit_rate,scan_events,hazard_contacts,boundary_hugging_fraction,internal_actuator_fraction,max_occupancy_fraction,occupancy_entropy,dwell_mean,dwell_median,dwell_p90,dwell_p99,dwell_max,vp_dwell_mean,vp_dwell_p90,vp_dwell_max,mean_valence,mean_arousal,mean_Ns,mean_bb_err,mean_precision_eff,mean_alpha_eff
Ipsundrum_Affect,9.5,1.0,0.35,138.0,2.0750786572533437,0.11068022507149919,4.566964121870821,6.7475725265263335,67.45,118.35,11.85,13.389062899141726,7.6,0.7,1.288467759784143,0.64025,0.35975,0.35975,0.0485,0.0485,0.31,31.35,0.05,0.35375,1.0,0.11100000000000002,5.503206032920019,1.7223154058451207,1.0,2.725,7.225999999999997,15.8,1.05674522800455,1.05,7.3,0.5282380374893207,0.17701688117347616,0.6819951710002894,1.415285887532038,1.088184959705141,0.8163675645837387
Ipsundrum_Affect_readout_only,9.5,1.0,0.35,136.05,2.0631868992376363,0.1054715630167086,4.550385451320809,6.681401385321422,66.9,123.85,12.05,12.520392237174345,10.15,0.8,1.1837413125737748,0.688,0.312,0.312,0.06875,0.06875,0.31975000000000003,27.0,0.05,0.42325,1.0,0.11725,5.469665511883319,1.6869034728477388,1.0,2.7399999999999998,8.987000000000002,17.0,1.0811191765067,1.05,8.0,0.5606696305302974,0.1645002608955588,0.63570131421547,1.317991108409108,1.0,0.7370545192706428
Ipsundrum_Affect_modulation_only,9.5,1.0,0.35,153.45,2.1362742420353396,0.7671405367939373,4.668525097027656,7.090837033361572,73.5,119.85,10.25,17.226133038471204,0.1,0.2,1.3487262907086717,0.6025,0.3975,0.3975,0.0032500000000000003,0.0032500000000000003,0.23275,33.9,0.05,0.2615,1.0,0.06975,5.789871531382488,1.6877601912490463,1.05,2.8600000000000003,5.934000000000003,11.05,1.0030226892035938,1.0,1.5,0.47291739132765975,0.2068392030400072,0.7150029550432635,1.5812478260170209,1.1030033750514443,0.8203117148430599
