model,base_model,seed,step,assay_variant,y,x,heading,action,I_total,touch,smell,smell_h,smell_b,vision,texture_cell,texture_cone,is_boundary,valence,arousal,Ns,internal_actuator_mode,bb_err,precision_eff,alpha_eff
Ipsundrum_Affect,humphrey_barrett,0,0,neutral_texture,9,9,1,forward,0.06592456955919482,0.0,0.09417795651313546,0.09417795651313546,0.0,0.0,0.8830780014959977,0.5726036473098182,False,0.9891581105945844,0.13010267286498806,0.5659245695591948,1,0.032525668216247014,1.0,1.0
Ipsundrum_Affect,humphrey_barrett,0,1,neutral_texture,9,10,1,turn_left,0.041525191013601456,0.0,0.04627441536516168,0.04627441536516168,0.0,0.015221833763313809,0.5755398430302386,0.44339055138455913,False,0.9683857950435989,0.21674211839557855,0.6560786055842996,1,0.0948426148692034,1.065051336432494,1.071910513855637
Ipsundrum_Affect,humphrey_barrett,0,2,neutral_texture,9,10,0,turn_right,0.08405670297582882,0.0,0.04627441536516168,0.04627441536516168,0.0,0.08610768703369275,0.5755398430302386,0.3418161806708245,False,0.9360897436197,0.3284882372554554,0.7713064643495251,1,0.19173076914090018,1.1083710591977893,1.1248153614527685
Ipsundrum_Affect,humphrey_barrett,0,3,neutral_texture,9,10,1,turn_right,0.041525191013601456,0.0,0.04627441536516168,0.04627441536516168,0.0,0.015221833763313809,0.5755398430302386,0.44339055138455913,False,0.8977206610234211,0.37302509837056985,0.8082011849653546,1,0.3068380169297368,1.1642441186277277,1.1976505414352419
Ipsundrum_Affect,humphrey_barrett,0,4,neutral_texture,9,10,2,turn_left,0.08719068005020855,0.0,0.04627441536516168,0.04627441536516168,0.0,0.09133098215765896,0.5755398430302386,0.3355770298364511,False,0.8525963654661375,0.4455573758126566,0.8805321395075335,1,0.44221090360158755,1.1865125491852848,1.2314870075040498
Ipsundrum_Affect,humphrey_barrett,0,5,neutral_texture,9,10,1,turn_left,0.041525191013601456,0.0,0.04627441536516168,0.04627441536516168,0.0,0.015221833763313809,0.5755398430302386,0.44339055138455913,False,0.8063411840568495,0.4503730919325782,0.8898975887554329,1,0.5809764478294513,1.2227786879063283,1.2848349366162148
Ipsundrum_Affect,humphrey_barrett,0,6,neutral_texture,9,10,0,turn_left,0.08405670297582882,0.0,0.04627441536516168,0.04627441536516168,0.0,0.08610768703369275,0.5755398430302386,0.3418161806708245,False,0.7581599573145625,0.4836302670397389,0.9136903498700775,1,0.7255201280563124,1.2251865459662892,1.2938882605834858
Ipsundrum_Affect,humphrey_barrett,0,7,neutral_texture,9,10,3,turn_right,0.09709691796404057,0.0,0.04627441536516168,0.04627441536516168,0.0,0.10784137868071232,0.5755398430302386,0.6337903625231721,False,0.7096651670939347,0.4954914472036185,0.9224761634334775,1,0.871004498718196,1.2418151335198695,1.3211253851404572
Ipsundrum_Affect,humphrey_barrett,0,8,neutral_texture,9,10,0,turn_right,0.08405670297582882,0.0,0.04627441536516168,0.04627441536516168,0.0,0.08610768703369275,0.5755398430302386,0.3418161806708245,False,0.6635445381005849,0.4805151900639464,0.9167278364589366,1,1.0093663856982455,1.2477457236018092,1.3336100873398835
Ipsundrum_Affect,humphrey_barrett,0,9,neutral_texture,9,10,1,turn_right,0.041525191013601456,0.0,0.04627441536516168,0.04627441536516168,0.0,0.015221833763313809,0.5755398430302386,0.44339055138455913,False,0.6231422419080754,0.433566117201882,0.8943767452010811,1,1.1305732742757735,1.2402575950319732,1.3271419899743155
Ipsundrum_Affect,humphrey_barrett,0,10,neutral_texture,9,10,2,forward,0.08719068005020855,0.0,0.04627441536516168,0.04627441536516168,0.0,0.09133098215765896,0.5755398430302386,0.3355770298364511,False,0.5853464180049508,0.4332796368297941,0.9141327468791935,1,1.2439607459851478,1.216783058600941,1.2984124213024018
Ipsundrum_Affect,humphrey_barrett,0,11,neutral_texture,10,10,2,turn_right,0.04453025538355937,0.0,0.06361465054794196,0.06361465054794196,0.0,0.0,0.19126676558804678,0.5036952775145463,False,0.5531302049293898,0.38626441262493433,0.8924945489863885,1,1.3406093852118306,1.216639818414897,1.2982195937578558
Ipsundrum_Affect,humphrey_barrett,0,12,neutral_texture,10,10,3,turn_right,0.08545288801142895,0.0,0.06361465054794196,0.06361465054794196,0.0,0.06820438771311596,0.19126676558804678,0.5282428590918179,False,0.5233880973655105,0.3846527261383843,0.909992247722237,1,1.4298357079034687,1.1931322063124672,1.2676871023218963
Ipsundrum_Affect,humphrey_barrett,0,13,neutral_texture,10,10,0,forward,0.06434273121122337,0.0,0.06361465054794196,0.06361465054794196,0.0,0.03302079304610668,0.19126676558804678,0.516693603749896,False,0.49759929888636534,0.354300197579286,0.8990757341255095,1,1.507202103340904,1.192326363069192,1.2640358403195529
Ipsundrum_Affect,humphrey_barrett,0,14,neutral_texture,9,10,0,turn_right,0.08405670297582882,0.0,0.04627441536516168,0.04627441536516168,0.0,0.08610768703369275,0.5755398430302386,0.3418161806708245,False,0.47421240961722866,0.3462598465825514,0.9070343458794226,1,1.577362771148314,1.177150098789643,1.2423743808035201
Ipsundrum_Affect,humphrey_barrett,0,15,neutral_texture,9,10,1,forward,0.041525191013601456,0.0,0.04627441536516168,0.04627441536516168,0.0,0.015221833763313809,0.5755398430302386,0.44339055138455913,False,0.45569692437760556,0.30274536540215735,0.8845249576918603,1,1.6329092268671832,1.1731299232912757,1.2331903196741534
