seed,episode,t,env_name,condition,agent_id,action,energy_true,energy_model,energy_pred,distress_self,distress_other_est,distress_coupled,pe,valence,arousal,Ns,internal,efference,g_eff,precision_eff,has_food,partner_alive,transfer_event,lesion_mode
0,0,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
1,1,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
2,2,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
3,3,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
4,4,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
5,5,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
6,6,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
7,7,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
8,8,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
9,9,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
10,10,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
11,11,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
12,12,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
13,13,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
14,14,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
15,15,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
16,16,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
17,17,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
18,18,0,FoodShareToy,social_affective_direct,possessor,EAT,0.79,0.7075,0.4750000000000001,0.0,0.1499999999999999,0.1499999999999999,0.31499999999999995,0.7000000000000002,0.46499999999999986,0.5,0.2,0.06000000000000001,1.3599999999999999,1.075,1,1,0,shuffle_partner
