model,post_lesion_auc_sham,post_lesion_auc_lesion,post_lesion_halflife_sham,post_lesion_halflife_lesion,immediate_slope_sham,immediate_slope_lesion,ns_at_lesion_sham,ns_at_lesion_lesion,n_sham,n_lesion,auc_drop_sham_minus_lesion
Ipsundrum+affect,99.10963315458073,71.47702565726796,150.0,150.0,-0.00488670367082728,-0.3838357615718214,0.8577903608764623,0.8577903608764623,10,10,27.632607497312776
Ipsundrum+affect_modulation_only,99.10963315458073,71.47702565726796,150.0,150.0,-0.00488670367082728,-0.3838357615718214,0.8577903608764623,0.8577903608764623,10,10,27.632607497312776
Ipsundrum+affect_readout_only,90.98775079057285,71.33907801134009,150.0,150.0,0.021571971129014232,-0.245888115643958,0.719842714948599,0.719842714948599,10,10,19.648672779232754
