model,unique_viewpoints,scan_events,turn_in_place_rate,revisit_rate,cycle_score,occupancy_entropy,dwell_p90,mean_valence,mean_arousal,mean_Ns,mean_precision_eff,mean_alpha_eff
Ipsundrum_Affect,136.3,33.9,0.363,0.3185,7.5,5.477821433923735,2.9,0.5295343885964974,0.1766523461329888,0.6813024067361565,1.088007637232138,0.8163010985340808
Ipsundrum_Affect_readout_only,131.9,34.2,0.331,0.3405,9.9,5.3498623059892525,2.9,0.5592290703618478,0.1651420775526813,0.6368857066346556,1.0,0.737133828866843
Ipsundrum_Affect_modulation_only,155.3,34.8,0.3995,0.2234999999999999,0.2,5.835892831308745,2.9,0.4729564332931382,0.2064286268220878,0.7159282820556634,1.1028018295971354,0.8199307077597696
