seed,condition,env_name,metabolic_load,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity,partner_final_energy,partner_peak_energy,self_final_energy,joint_homeostatic_margin
0,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.18968253968253965,16.0,0.1050000000000001,18.0,0.26999999999999996,0.27999999999999997,0.6799999999999997,0.5942460317460317
1,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.18968253968253965,16.0,0.1050000000000001,18.0,0.26999999999999996,0.27999999999999997,0.6799999999999997,0.5942460317460317
2,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.18968253968253965,16.0,0.1050000000000001,18.0,0.26999999999999996,0.27999999999999997,0.6799999999999997,0.5942460317460317
3,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.18968253968253965,16.0,0.1050000000000001,18.0,0.26999999999999996,0.27999999999999997,0.6799999999999997,0.5942460317460317
4,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.18968253968253965,16.0,0.1050000000000001,18.0,0.26999999999999996,0.27999999999999997,0.6799999999999997,0.5942460317460317
5,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.18968253968253965,16.0,0.1050000000000001,18.0,0.26999999999999996,0.27999999999999997,0.6799999999999997,0.5942460317460317
6,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.18968253968253965,16.0,0.1050000000000001,18.0,0.26999999999999996,0.27999999999999997,0.6799999999999997,0.5942460317460317
7,social_affective_direct,SocialCorridorWorld,low,none,1.0,1.0,0.18968253968253965,16.0,0.1050000000000001,18.0,0.26999999999999996,0.27999999999999997,0.6799999999999997,0.5942460317460317
