model,seed,curiosity,w_epistemic,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,action_entropy,move_ratio,turn_ratio,turn_in_place_rate,blocked_forward_rate,true_stall_rate,revisit_rate,scan_events,hazard_contacts,boundary_hugging_fraction,internal_actuator_fraction,max_occupancy_fraction,occupancy_entropy,dwell_mean,dwell_median,dwell_p90,dwell_p99,dwell_max,vp_dwell_mean,vp_dwell_p90,vp_dwell_max,mean_valence,mean_arousal,mean_Ns,mean_bb_err,mean_precision_eff,mean_alpha_eff
Ipsundrum_Affect,4.5,1.0,0.35,136.3,2.0907885438879354,0.10770311105620256,4.565722189750368,6.716138749602453,66.4,117.3,12.1,11.609439060480621,7.5,0.9,1.2968063142245083,0.637,0.363,0.363,0.0505,0.0505,0.3185,33.9,0.0,0.422,1.0,0.1105,5.477821433923735,1.730217657304817,1.0,2.9,7.580999999999984,15.9,1.0544452480641684,1.1,7.0,0.5295343885964974,0.1766523461329888,0.6813024067361565,1.411396834210508,1.0880076372321381,0.8163010985340808
Ipsundrum_Affect_readout_only,4.5,1.0,0.35,131.9,2.038082126669776,0.12073269930860372,4.49183101343721,6.550292788041778,65.6,121.8,11.4,14.324339997654992,9.9,0.8,1.2127949642407692,0.6689999999999999,0.331,0.331,0.06,0.06,0.3405,34.2,0.0,0.487,1.0,0.13999999999999999,5.3498623059892525,1.751428362330088,1.0,2.9,10.005999999999997,19.8,1.0659634174187262,1.1,5.6,0.5592290703618478,0.16514207755268137,0.6368857066346556,1.3223127889144566,1.0,0.737133828866843
Ipsundrum_Affect_modulation_only,4.5,1.0,0.35,155.3,2.075133121841877,0.764279342391929,4.628954580733787,7.099842298458254,77.1,119.4,11.6,13.021248830373926,0.2,0.4,1.3492361464044258,0.6005,0.3995,0.3995,0.0035000000000000005,0.0035000000000000005,0.22349999999999998,34.8,0.0,0.2675,1.0,0.071,5.835892831308745,1.701090203964864,1.1,2.9,6.270000000000003,11.5,1.0030252271458302,1.0,1.5,0.4729564332931382,0.20642862682208785,0.7159282820556634,1.5811307001205852,1.1028018295971354,0.8199307077597696
