model,seed,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,mean_precision_eff,mean_alpha_eff,internal_actuator_fraction,scan_events,revisit_rate,turn_in_place_rate,true_stall_rate,blocked_forward_rate,max_occupancy_fraction,occupancy_entropy,dwell_p90,dwell_max,vp_dwell_p90,vp_dwell_max,boundary_hugging_fraction,hazard_contacts,assay_variant
Ipsundrum_Affect_readout_only,9,156,2.0526315789473686,0.0,4.706999084387895,7.149886252177382,76,132.0,6,21.999996333333943,0,0,1.0,0.7392698142373106,1.0,24,0.22,0.31,0.03,0.03,0.045,5.928336472993157,3.0,8.0,1.0,3.0,0.3,0,neutral_texture
Ipsundrum_Affect_modulation_only,0,152,1.876543209876543,1.0089372824905964,4.640858887382855,7.085113159965467,81,131.0,9,14.555553938271785,0,0,1.1100960426832658,0.8216765819501518,1.0,28,0.24,0.345,0.0,0.0,0.08,5.9392405203300775,3.0,12.0,1.0,1.0,0.28,0,neutral_texture
Ipsundrum_Affect_modulation_only,1,108,2.25,0.6343095546405662,4.397505680762776,6.408241865628986,48,84.0,8,10.499998687500165,0,0,1.0934026240025112,0.816063752171253,1.0,59,0.46,0.575,0.005,0.005,0.12,4.801455562941694,4.0,9.0,1.0,2.0,0.225,0,neutral_texture
Ipsundrum_Affect_modulation_only,2,165,2.1710526315789473,0.7162822481419997,4.759172228461173,7.228049892481086,76,121.0,9,13.444442950617452,0,0,1.1023872732643503,0.8180153589115862,1.0,29,0.175,0.395,0.0,0.0,0.065,5.969354143559565,3.0,13.0,1.0,1.0,0.19,0,neutral_texture
Ipsundrum_Affect_modulation_only,3,179,1.7378640776699028,0.37871892434950694,4.717119808073108,7.397759785030372,103,139.0,13,10.692306869822549,0,0,1.0950695981499112,0.8176427293691588,1.0,17,0.105,0.305,0.0,0.0,0.05,6.399436020416617,2.0,10.0,1.0,1.0,0.17,0,neutral_texture
Ipsundrum_Affect_modulation_only,4,144,2.4827586206896552,0.8185997536789695,4.673111255298159,7.006111814666564,58,120.0,14,8.571427959183717,0,0,1.10578813007011,0.8218047135004792,1.0,36,0.28,0.395,0.005,0.005,0.065,5.549840576492688,3.0,13.0,1.0,2.0,0.365,0,neutral_texture
Ipsundrum_Affect_modulation_only,5,150,2.6315789473684212,0.6680792199218833,4.558193364774289,7.048758439731469,57,109.0,11,9.909090008264545,2,4,1.1035566053338135,0.8193727146661394,1.0,46,0.25,0.445,0.01,0.01,0.07,5.480040900021589,3.0,14.0,1.0,3.0,0.26,0,neutral_texture
Ipsundrum_Affect_modulation_only,6,174,1.74,0.9116352174352707,4.622121018540982,7.328887597476286,100,134.0,18,7.44444403086422,0,0,1.1048551679985932,0.8249181120360898,1.0,27,0.13,0.315,0.015,0.015,0.05,6.310273725411813,3.0,10.0,1.0,2.0,0.42,0,neutral_texture
Ipsundrum_Affect_modulation_only,7,174,1.7938144329896908,0.7566727085033297,4.822379266467685,7.341209564709837,97,119.0,17,6.999999588235318,0,0,1.103809376834611,0.821849300077873,1.0,38,0.13,0.405,0.0,0.0,0.07,6.22608084810133,2.0,14.0,1.0,1.0,0.27,0,neutral_texture
Ipsundrum_Affect_modulation_only,8,161,2.1466666666666665,1.1651613438606052,4.783407378144948,7.234984002220658,75,118.0,14,8.428570826530656,0,0,1.1124021926581769,0.8204055842655015,1.0,34,0.195,0.41,0.0,0.0,0.045,5.920417428365788,3.0,7.0,1.0,1.0,0.27,0,neutral_texture
Ipsundrum_Affect_modulation_only,9,146,1.9210526315789473,0.5843971708965612,4.315676919431892,6.919306862671815,76,119.0,3,39.66665344444885,0,0,1.0966512849760104,0.8175582306494639,1.0,34,0.27,0.405,0.0,0.0,0.095,5.762788587446287,3.0,13.0,1.0,1.0,0.225,0,neutral_texture
