model,mean_tail_duration,std_tail_duration,mean_ns_peak,mean_ns_half_life,mean_ns_auc_above_baseline,std_ns_auc_above_baseline,mean_arousal_integral,mean_turn_rate_tail,mean_forward_rate_tail,n
Ipsundrum+affect,32.8,16.84339633209407,1.0,0.0,0.1923885859485618,0.04416893990809176,10.015082252259878,0.85,0.15,5
Ipsundrum+affect_modulation_only,32.6,16.622274212634082,1.0,0.0,0.1923885859485618,0.04416893990809176,10.015082252259878,0.8800000000000001,0.12,5
Ipsundrum+affect_readout_only,29.4,20.354360712142253,1.0,0.0,0.22906073139377106,0.010990106240464353,8.442352713146589,0.7,0.3,5
Recon,,,,,,,,,,0
Ipsundrum,,,,,,,,,,0
