seed,episode,t,env_name,condition,metabolic_load,agent_id,action,energy_true,energy_model,energy_pred,distress_self,distress_other_est,distress_coupled,pe,valence,arousal,Ns,internal,efference,g_eff,precision_eff,partner_energy_true,partner_energy_model,partner_energy_pred,partner_distress_self,has_food,x,partner_x,food_source_x,hazard_x,partner_alive,transfer_event,lesion_mode
0,0,0,SocialCorridorWorld,social_affective_direct,low,possessor,LEFT,0.6849999999999999,0.7549999999999999,0.575,0.0,0.4999999999999999,0.4999999999999999,0.1099999999999999,1.1102230246251563e-16,0.6099999999999999,0.5,0.2,0.06,1.0,1.0,0.19,0.2575,0.075,0.4424999999999999,0,2,6,0,3,1,0,none
0,0,1,SocialCorridorWorld,social_affective_direct,low,possessor,LEFT,0.6699999999999999,0.7762499999999999,0.6275,0.0,0.51,0.51,0.0424999999999999,0.0,0.5525,0.6295499669093315,0.3718199867637326,0.1535459960291198,2.278848,1.305,0.18,0.2740625,0.146875,0.4259374999999999,0,1,6,0,3,1,0,none
0,0,2,SocialCorridorWorld,social_affective_direct,low,possessor,LEFT,0.6549999999999999,0.7806249999999999,0.6462499999999999,0.0,0.52,0.52,0.00875,0.0,0.52875,0.8478800189763921,0.5622439996487965,0.2761553971150228,2.21642628142634,1.27625,0.1699999999999999,0.2752734375,0.167578125,0.4247265624999999,0,0,6,0,3,1,0,none
0,0,3,SocialCorridorWorld,social_affective_direct,low,possessor,GET,0.6449999999999999,0.7790625,0.6481249999999998,0.0,0.53,0.53,-0.0031249999999999,0.0,0.533125,0.877143922445936,0.6882039687676522,0.3997699686108117,2.172930775964199,1.264375,0.1599999999999999,0.2707275390624999,0.169091796875,0.4292724609375,1,0,6,0,3,1,0,none
0,0,4,SocialCorridorWorld,social_affective_direct,low,possessor,RIGHT,0.6299999999999999,0.77203125,0.6440625,0.0,0.54,0.54,-0.0140625,0.0,0.5540625000000001,0.8774680243387557,0.7639095909960936,0.5090118553263963,2.146396463614167,1.2665625,0.1499999999999999,0.2640228271484375,0.1634094238281249,0.4359771728515624,1,1,6,0,3,1,0,none
0,0,5,SocialCorridorWorld,social_affective_direct,low,possessor,RIGHT,0.6149999999999999,0.762265625,0.63453125,0.0,0.55,0.55,-0.0195312500000001,0.0,0.5695312500000002,0.8790113151548877,0.8099502806596113,0.5992933829263608,2.129504083596647,1.27703125,0.1399999999999999,0.256508560180664,0.1550285339355468,0.4434914398193359,1,2,6,0,3,1,0,none
0,0,6,SocialCorridorWorld,social_affective_direct,low,possessor,RIGHT,0.5499999999999998,0.7261328125,0.6222656249999999,0.0,0.56,0.56,-0.0722656250000001,0.0,0.6322656250000002,0.8801433194637077,0.8380274961812498,0.6709136169028276,2.106565451936441,1.284765625,0.1299999999999999,0.2486907100677489,0.14563570022583,0.4513092899322509,1,3,6,0,3,1,0,none
0,0,7,SocialCorridorWorld,social_affective_direct,low,possessor,RIGHT,0.5349999999999998,0.7018164062499999,0.5836328124999999,0.0,0.5700000000000001,0.5700000000000001,-0.0486328125,0.0,0.6186328125000001,0.8846642716880031,0.8566822063839512,0.7266441937471646,2.117343609240584,1.3161328125,0.1199999999999999,0.2407590162754058,0.1358633875846862,0.4592409837245941,1,4,6,0,3,1,0,none
0,0,8,SocialCorridorWorld,social_affective_direct,low,possessor,RIGHT,0.5199999999999998,0.6834082031249998,0.5568164062499998,0.0165917968750001,0.58,0.5965917968750001,-0.03681640625,0.0,0.6334082031250001,0.8836912475102452,0.8674858228344688,0.7688966824733559,2.071222575550099,1.30931640625,0.1099999999999999,0.2327846311032771,0.1259487703442573,0.4672153688967227,1,5,6,0,3,1,0,none
0,0,9,SocialCorridorWorld,social_affective_direct,low,possessor,PASS,0.5099999999999998,0.6725280761718748,0.5317602539062498,0.0274719238281251,0.59,0.6174719238281251,-0.02176025390625,0.0,0.6392321777343751,0.8847455869847677,0.8743897284945883,0.8005445962797255,2.045770552012964,1.3167041015625,0.35,0.3497942366637289,0.1159807888790964,0.350205763336271,0,5,6,0,3,1,1,none
