model,arch_seed,env_seed,delay,success_rate,fork_score_margin,R
humphrey,0,3,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,0,3,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,0,3,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,1,0,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,1,0,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,1,0,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,1,1,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,1,1,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,1,1,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,1,2,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,1,2,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,1,2,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,1,3,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,1,3,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,1,3,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,2,0,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,2,0,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,2,0,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,2,1,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,2,1,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,2,1,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,2,2,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,2,2,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,2,2,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,2,3,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,2,3,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,2,3,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,3,0,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,3,0,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,3,0,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,3,1,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,3,1,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,3,1,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,3,2,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,3,2,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,3,2,18,0.5,-0.0011262356354170278,0.0025737994637712314
humphrey,3,3,6,0.5,0.0005868490278472249,0.016689637008111102
humphrey,3,3,12,0.5,-0.0010246293285425256,0.0007729616024075847
humphrey,3,3,18,0.5,-0.0011262356354170278,0.0025737994637712314
recon,0,0,6,0.5,0.0,0.0
recon,0,0,12,0.5,0.0,0.0
recon,0,0,18,0.5,0.0,0.0
recon,0,1,6,0.5,0.0,0.0
recon,0,1,12,0.5,0.0,0.0
recon,0,1,18,0.5,0.0,0.0
recon,0,2,6,0.5,0.0,0.0
recon,0,2,12,0.5,0.0,0.0
recon,0,2,18,0.5,0.0,0.0
recon,0,3,6,0.5,0.0,0.0
recon,0,3,12,0.5,0.0,0.0
recon,0,3,18,0.5,0.0,0.0
recon,1,0,6,0.5,0.0,0.0
recon,1,0,12,0.5,0.0,0.0
recon,1,0,18,0.5,0.0,0.0
recon,1,1,6,0.5,0.0,0.0
recon,1,1,12,0.5,0.0,0.0
recon,1,1,18,0.5,0.0,0.0
recon,1,2,6,0.5,0.0,0.0
recon,1,2,12,0.5,0.0,0.0
recon,1,2,18,0.5,0.0,0.0
recon,1,3,6,0.5,0.0,0.0
recon,1,3,12,0.5,0.0,0.0
recon,1,3,18,0.5,0.0,0.0
recon,2,0,6,0.5,0.0,0.0
recon,2,0,12,0.5,0.0,0.0
recon,2,0,18,0.5,0.0,0.0
recon,2,1,6,0.5,0.0,0.0
recon,2,1,12,0.5,0.0,0.0
recon,2,1,18,0.5,0.0,0.0
recon,2,2,6,0.5,0.0,0.0
recon,2,2,12,0.5,0.0,0.0
recon,2,2,18,0.5,0.0,0.0
recon,2,3,6,0.5,0.0,0.0
recon,2,3,12,0.5,0.0,0.0
recon,2,3,18,0.5,0.0,0.0
recon,3,0,6,0.5,0.0,0.0
recon,3,0,12,0.5,0.0,0.0
recon,3,0,18,0.5,0.0,0.0
recon,3,1,6,0.5,0.0,0.0
recon,3,1,12,0.5,0.0,0.0
recon,3,1,18,0.5,0.0,0.0
recon,3,2,6,0.5,0.0,0.0
recon,3,2,12,0.5,0.0,0.0
recon,3,2,18,0.5,0.0,0.0
recon,3,3,6,0.5,0.0,0.0
recon,3,3,12,0.5,0.0,0.0
recon,3,3,18,0.5,0.0,0.0
