model,arch_seed,env_seed,delay,context,stage,step,phi_norm,z_0,z_1,z_2,z_3,z_4,z_5,z_6,z_7,p_0,p_1,p_2,p_3,delta_w_in_0_0,delta_w_in_0_1,delta_w_in_0_2,delta_w_in_0_3,delta_w_in_0_4,delta_w_in_0_5,delta_w_in_1_0,delta_w_in_1_1,delta_w_in_1_2,delta_w_in_1_3,delta_w_in_1_4,delta_w_in_1_5,delta_w_in_2_0,delta_w_in_2_1,delta_w_in_2_2,delta_w_in_2_3,delta_w_in_2_4,delta_w_in_2_5,delta_w_in_3_0,delta_w_in_3_1,delta_w_in_3_2,delta_w_in_3_3,delta_w_in_3_4,delta_w_in_3_5,delta_w_in_4_0,delta_w_in_4_1,delta_w_in_4_2,delta_w_in_4_3,delta_w_in_4_4,delta_w_in_4_5,delta_w_in_5_0,delta_w_in_5_1,delta_w_in_5_2,delta_w_in_5_3,delta_w_in_5_4,delta_w_in_5_5,delta_w_in_6_0,delta_w_in_6_1,delta_w_in_6_2,delta_w_in_6_3,delta_w_in_6_4,delta_w_in_6_5,delta_w_in_7_0,delta_w_in_7_1,delta_w_in_7_2,delta_w_in_7_3,delta_w_in_7_4,delta_w_in_7_5,precision_vec_0,precision_vec_1,precision_vec_2,precision_vec_3,workspace_0,workspace_1,workspace_2,workspace_3,workspace_4,workspace_5,workspace_6,workspace_7,selector_logits_0,selector_logits_1,selector_logits_2,selector_logits_3,selector_weights_0,selector_weights_1,selector_weights_2,selector_weights_3,sel_touch,sel_smell,sel_vision,sel_efference
perspective,0,0,6,B,delay,2,0.11967540206198064,0.01333740563403457,-0.06296975346180833,-0.00760753850120692,0.15197604803139897,0.10085460362121737,0.12626459688960498,0.2350385177276148,0.41849926304222507,-0.01980345979297672,-0.10543736374191391,-0.0402531163264902,0.03453510955659561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0534921368150294,1.0610044438094584,1.0632212415197884,1.0459463286634412,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,B,delay,3,0.1672637224915344,-0.007201487929952452,-0.0850012481660673,-0.08086970169790313,0.18310937005531325,0.13580730569606825,0.13610003010880195,0.2283422899282144,0.4919113388913505,-0.010864680812152847,-0.15306537628586053,-0.0557427939561157,0.03637090976328507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0706468138864182,1.0795825378296586,1.0845258687375525,1.0623773562142789,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,B,delay,4,0.2129270446674121,-0.033387735439190755,-0.11058208842764233,-0.13258543822922383,0.20240575256705814,0.1670501574021413,0.1384653648267148,0.21575000375880032,0.5355630187248046,0.00022985594834589763,-0.19809868208380838,-0.07002044714028649,0.03452423288030728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0795475801598722,1.0891190303861606,1.0970217817574137,1.0719338441706938,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,B,delay,5,0.2554977241555193,-0.060632821207332314,-0.13684214148347834,-0.1691798400893789,0.21493090806509035,0.19328019178707706,0.13267106848000537,0.2032360963274436,0.5608728890868306,0.011791349417436694,-0.239589207716766,-0.0827956681285951,0.02969747484816922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0831448544665225,1.0930119626103028,1.103797730370452,1.0773439575218733,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,B,delay,6,0.2945049718640143,-0.08685552095957466,-0.16170932884509276,-0.19423215759189516,0.22338671928812254,0.21473885202340975,0.12066064513680635,0.1920009284080421,0.5748555237774449,0.02269912333938389,-0.27722273306130957,-0.09410084979620162,0.022594570009139493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0833238936107576,1.0934702212789928,1.1069065614421714,1.0802694965679003,,,,,,,,,,,,,,,,,,,,
perspective,0,0,6,B,fork,7,0.3321500207620464,-0.09825794784557221,-0.19386650481047762,-0.26795220828787225,0.25174404556069657,0.22143046565319457,0.09555182468177764,0.20469043911690066,0.593821085953271,0.03677857036401404,-0.3130404706887445,-0.10410753699517397,0.01175829519849288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.081312701788974,1.0919317427044648,1.1077183883525838,1.081710421866373,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,cue,0,0.056005491872935895,0.12886763557979417,0.018545158319230436,-0.3352789464546106,0.10704989886288273,0.009874288645980913,-0.04962676237149361,0.242040689254936,0.3327939827906717,0.023353034437514665,-0.04982206207161252,-0.010331505670515636,-0.0015076551337207661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,1,0.1118585284419959,0.08509850002208748,0.0535817197496167,-0.2321096468013302,0.09896693882756102,0.07728502443613719,0.061666657563529285,0.2866179760622639,0.4451619890830818,0.037193552087737614,-0.10206320301555949,-0.025995373025034345,0.006026046780399037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1590587444165765,1.1560436037922706,1.159322808917597,1.1607953294639721,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,2,0.16573075881212396,0.0543734271825763,0.039076626876355866,-0.19501529989807723,0.13009126495370527,0.12625668501510015,0.11594842477657445,0.2849479954042454,0.5000168458729186,0.0468099658216716,-0.15254564968431414,-0.04208227120580178,0.015310739001373877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0971620045306811,1.0929663311690825,1.0997059502249265,1.0976081562647526,,,,,,,,,,,,,,,,,,,,
perspective,0,0,12,A,delay,3,0.2158825171591632,0.023710157925092713,0.004133048032626568,-0.1881564422969872,0.16236958616000885,0.16037978431187805,0.13774662408641972,0.26803116452466336,0.530680433793233,0.05452609251376947,-0.199627673363808,-0.05717486302179495,0.022627273718855603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0910228404799447,1.0865223266649153,1.0964902193940276,1.089591431160114,,,,,,,,,,,,,,,,,,,,
