seed,condition,env_name,lesion_mode,help_rate_when_partner_distressed,partner_recovery_rate,mutual_viability,rescue_latency,self_cost_of_help,episode_joint_longevity
51,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
52,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
53,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
54,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
55,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
56,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
57,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
58,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
59,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
60,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
61,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
62,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
63,social_none,SocialCorridorWorld,none,0.0,1.0,1.0,18.0,0.05500000000000005,18.0
