model,seed,scenic_side,condition,phase,episode_idx,choice_entry,decided,scenic_choice,split_novelty_left,split_novelty_right,split_novelty_delta,split_novelty_scenic,split_novelty_dull,split_valence,split_arousal,split_body_budget,score_base,score_epistemic,score_progress,score_curiosity,score_total,score_other,action,action_random
Recon,0,left,scenic_familiar,test,1,dull,True,False,0.15075567228888181,0.5,0.3492443277111182,0.15075567228888181,0.5,,,,0.6,0.0,0.0,0.15075567228888181,0.45075567228888175,-0.3,forward,False
Recon,0,left,scenic_familiar,test,2,,False,False,0.15075567228888181,0.2886751345948129,0.1379194623059311,0.15075567228888181,0.2886751345948129,,,,0.6,0.0,0.0,0.1336306209562122,0.43363062095621224,-0.3,turn_left,False
Recon,0,left,scenic_familiar,test,3,,False,False,0.1336306209562122,0.1889822365046136,0.0553516155484014,0.1336306209562122,0.1889822365046136,,,,0.6,0.0,0.0,0.12126781251816648,0.4212678125181664,-0.3,forward,False
Recon,0,left,scenic_familiar,test,4,,False,False,0.12126781251816648,0.14433756729740646,0.023069754779239976,0.12126781251816648,0.14433756729740646,,,,0.6,0.0,0.0,0.10425720702853739,0.40425720702853735,-0.3,forward,False
Recon,0,left,scenic_familiar,test,5,scenic,True,True,0.11180339887498948,0.12126781251816648,0.009464413643177003,0.11180339887498948,0.12126781251816648,,,,0.6,0.0,0.0,0.09284766908852593,0.3928476690885259,-0.3,forward,False
Recon,0,left,dull_familiar,test,1,scenic,True,True,0.5,0.15075567228888181,-0.3492443277111182,0.5,0.15075567228888181,,,,0.6,0.0,0.0,0.15075567228888181,0.45075567228888175,-0.3,forward,True
Recon,0,left,dull_familiar,test,2,scenic,True,True,0.25,0.1386750490563073,-0.11132495094369271,0.25,0.1386750490563073,,,,0.6,0.0,0.0,0.12909944487358055,0.4290994448735806,-0.3,forward,True
Recon,0,left,dull_familiar,test,3,dull,True,False,0.1889822365046136,0.12126781251816648,-0.06771442398644711,0.1889822365046136,0.12126781251816648,,,,0.6,0.0,0.0,0.11470786693528087,0.4147078669352809,-0.3,forward,False
Recon,0,left,dull_familiar,test,4,dull,True,False,0.17677669529663687,0.11785113019775793,-0.05892556509887893,0.17677669529663687,0.11785113019775793,,,,0.6,0.0,0.0,0.1091089451179962,0.40910894511799617,-0.3,forward,True
Recon,0,left,dull_familiar,test,5,dull,True,False,0.16666666666666666,0.11470786693528087,-0.051958799731385785,0.16666666666666666,0.11470786693528087,,,,0.6,0.0,0.0,0.10425720702853739,0.40425720702853735,-0.3,forward,False
Recon,0,left,both_familiar,test,1,,False,False,0.20412414523193154,0.20412414523193154,0.0,0.20412414523193154,0.20412414523193154,,,,0.6,0.0,0.0,0.15075567228888181,0.45075567228888175,-0.3,forward,False
Recon,0,left,both_familiar,test,2,,False,False,0.15075567228888181,0.15811388300841897,0.007358210719537156,0.15075567228888181,0.15811388300841897,,,,0.6,0.0,0.0,0.1336306209562122,0.43363062095621224,-0.3,forward,False
Recon,0,left,both_familiar,test,3,,False,False,0.1336306209562122,0.12909944487358055,-0.004531176082631649,0.1336306209562122,0.12909944487358055,,,,0.6,0.0,0.0,0.11180339887498948,0.41180339887498946,-0.3,turn_right,False
