model,seed,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,mean_precision_eff,mean_alpha_eff,internal_actuator_fraction,scan_events,revisit_rate,turn_in_place_rate,true_stall_rate,blocked_forward_rate,max_occupancy_fraction,occupancy_entropy,dwell_p90,dwell_max,vp_dwell_p90,vp_dwell_max,boundary_hugging_fraction,hazard_contacts,assay_variant
Ipsundrum+affect,10,166,1.9761904761904763,0.1261351476101941,4.6055052927319595,7.25875843973147,84,130.0,16,8.12499949218753,0,0,1.0865337123025198,0.8153789376332959,1.0,22,0.17,0.335,0.015,0.015,0.065,6.036686902084579,2.0,11.0,1.0,4.0,0.19,0,neutral_texture
Ipsundrum+affect,11,68,2.125,0.4125426691977456,3.603540394473709,4.9695529509713845,32,80.0,16,4.999999687500019,73,2,1.0887661433599698,0.8189858620985965,1.0,24,0.66,0.295,0.305,0.305,0.345,3.806663065120165,3.0,55.0,1.0,55.0,0.615,1,neutral_texture
Ipsundrum+affect,12,125,2.232142857142857,0.14144054254182067,4.837082097311679,6.775612487316012,56,120.0,12,9.999999166666736,0,0,1.094645244503175,0.8202364793792905,1.0,27,0.375,0.39,0.01,0.01,0.065,5.3945810513476475,3.0,10.0,1.0,2.0,0.32,0,neutral_texture
Ipsundrum+affect,13,174,1.851063829787234,0.08079313589591118,4.7394383273883225,7.358758439731472,94,136.0,12,11.333332388888968,0,0,1.0882792705319435,0.8160604691000708,1.0,19,0.13,0.32,0.0,0.0,0.055,6.24211773372048,2.0,9.0,1.0,1.0,0.225,0,neutral_texture
Ipsundrum+affect,14,156,2.0526315789473686,0.16866093149667025,4.850724935702367,7.088678377576453,76,118.0,10,11.799998820000118,0,0,1.0898828106859793,0.8171802350733303,1.0,35,0.22,0.38,0.03,0.03,0.09,5.781509865035198,3.0,13.0,1.0,4.0,0.335,0,neutral_texture
Ipsundrum+affect,15,121,2.0166666666666666,0.0,4.39988492040008,6.244185154351937,60,95.0,15,6.33333291111114,4,3,1.087531961494746,0.8160487894151766,1.0,59,0.395,0.45,0.075,0.075,0.225,4.99501203658233,3.5,18.0,1.0,2.0,0.53,0,neutral_texture
Ipsundrum+affect,16,121,2.1228070175438596,0.08079313589591118,4.573000249454788,6.727368784857289,57,136.0,8,16.99999787500027,0,0,1.083981435836868,0.814094941237639,1.0,17,0.395,0.32,0.0,0.0,0.07,5.445093138290476,2.0,9.0,1.0,1.0,0.1,0,neutral_texture
Ipsundrum+affect,17,161,2.236111111111111,0.0454146923337941,4.674484652726573,7.188049892481089,72,129.0,7,18.428568795918743,0,0,1.0909023452071147,0.8166609502654884,1.0,27,0.195,0.35,0.005,0.005,0.08,5.865046817623728,2.0,14.0,1.0,2.0,0.17,0,neutral_texture
Ipsundrum+affect,18,144,2.0869565217391304,0.08079313589591118,4.712582567567177,6.958388270125732,69,112.0,2,55.999972000014,0,0,1.089489059675096,0.8155906948139972,1.0,41,0.28,0.425,0.015,0.015,0.08,5.592601814093246,3.0,11.0,1.0,2.0,0.26,0,neutral_texture
Ipsundrum+affect,19,161,1.8941176470588235,0.0,4.685817102156077,7.220710237359287,85,138.0,18,7.6666662407407635,0,0,1.0836108381840281,0.8141029473170781,1.0,17,0.195,0.3,0.01,0.01,0.04,6.126593895265175,2.0,7.0,1.0,3.0,0.11,0,neutral_texture
Recon,0,153,2.013157894736842,1.6436966068243084,4.913496801148936,7.160081752263923,76,184.0,14,13.142856204081701,0,0,,,0.0,1,0.235,0.06,0.02,0.02,0.045,6.092141877069197,1.0,4.0,1.0,3.0,0.96,15,neutral_texture
Recon,1,101,1.3289473684210527,2.5069494641768126,4.751270430585733,6.4293487741272815,76,165.0,13,12.692306715976407,5,2,,,0.0,1,0.495,0.07,0.105,0.105,0.085,5.8906292707880885,1.0,9.0,1.0,8.0,0.96,34,neutral_texture
Recon,2,126,1.6578947368421053,1.478328334209177,4.671915314893639,6.715769836703002,76,167.0,15,11.133332591111161,6,2,,,0.0,0,0.37,0.055,0.11,0.11,0.085,5.8616699103249355,1.0,9.0,1.0,8.0,0.96,12,neutral_texture
Recon,3,149,1.9605263157894737,1.5084096410939678,4.839466976205471,7.029813013238868,76,174.0,12,14.499998791666767,3,2,,,0.0,2,0.255,0.065,0.065,0.065,0.08,5.96988625217737,1.0,10.0,1.0,8.0,0.96,14,neutral_texture
Recon,4,136,1.7894736842105263,1.5686949602126874,4.868229677638486,6.896038575728056,76,171.0,15,11.399999240000051,3,2,,,0.0,3,0.32,0.07,0.075,0.075,0.08,5.951266094754729,1.0,10.0,1.0,8.0,0.96,13,neutral_texture
Recon,5,109,1.4342105263157894,2.604197642539575,4.7305033244311465,6.669690752090846,76,184.0,14,13.142856204081701,0,0,,,0.0,1,0.455,0.06,0.02,0.02,0.045,6.094593002047561,1.0,5.0,1.0,3.0,0.96,32,neutral_texture
Recon,6,145,1.9078947368421053,1.419813313848374,4.740228470076277,6.894446524170548,76,160.0,10,15.99999840000016,6,2,,,0.0,1,0.275,0.06,0.14,0.14,0.08,5.8705147372727335,1.0,10.0,1.0,8.0,0.96,11,neutral_texture
Recon,7,145,1.9078947368421053,1.2301247650796239,4.7790696849470775,6.957781153456039,76,170.0,18,9.444443919753114,3,2,,,0.0,0,0.275,0.055,0.095,0.095,0.08,5.981380707290384,1.0,9.0,1.0,8.0,0.96,9,neutral_texture
Recon,8,144,1.894736842105263,1.6551061029596599,4.826220248967766,6.899544274213816,76,168.0,16,10.49999934375004,6,2,,,0.0,1,0.28,0.06,0.1,0.1,0.08,5.886307314753091,1.0,10.0,1.0,8.0,0.96,13,neutral_texture
Recon,9,144,1.565217391304348,1.887995770925276,4.890877903248165,7.064984002220657,92,178.0,12,14.833332097222327,0,0,,,0.0,0,0.28,0.06,0.05,0.05,0.04,6.312561142264727,1.0,7.0,1.0,3.0,0.88,17,neutral_texture
Recon,10,136,1.7894736842105263,1.827977966609578,4.923297938034064,6.886038575728046,76,170.0,18,9.444443919753114,3,2,,,0.0,1,0.32,0.065,0.085,0.085,0.09,5.909638954958267,1.0,9.0,1.0,8.0,0.96,17,neutral_texture
Recon,11,118,1.2826086956521738,2.917808340278331,4.713091414036982,6.7898862521773795,92,186.0,16,11.624999273437545,0,0,,,0.0,0,0.41,0.06,0.01,0.01,0.03,6.375720814493474,1.0,4.0,1.0,3.0,0.88,32,neutral_texture
Recon,12,153,2.013157894736842,2.3738636506610726,4.827900683976133,7.069813013238871,76,174.0,12,14.499998791666767,3,2,,,0.0,2,0.235,0.065,0.065,0.065,0.08,5.990514737272733,1.0,10.0,1.0,8.0,0.96,20,neutral_texture
Recon,13,137,1.4891304347826086,2.4643721863438564,4.815044116080963,6.7933919506631435,92,159.0,11,14.454544140495988,9,2,,,0.0,3,0.315,0.08,0.125,0.125,0.09,5.960252894844469,1.0,12.0,1.0,11.0,0.88,34,neutral_texture
Recon,14,118,1.2967032967032968,1.6044960207581322,4.80556481185718,6.719813013238872,91,174.0,10,17.399998260000174,3,2,,,0.0,1,0.41,0.065,0.065,0.065,0.08,6.258982204840448,1.0,9.0,1.0,8.0,0.88,13,neutral_texture
Recon,15,171,1.858695652173913,1.3330295747918746,4.748710764272633,7.331209564709841,92,176.0,12,14.666665444444547,0,0,,,0.0,0,0.145,0.06,0.06,0.06,0.04,6.324093674697011,1.0,4.0,1.0,3.0,0.88,11,neutral_texture
Recon,16,153,2.013157894736842,2.038102380605892,5.000484292062336,7.052264138217239,76,169.0,17,9.941175885813182,3,2,,,0.0,0,0.235,0.055,0.1,0.1,0.09,5.964512939892543,1.0,9.0,1.0,8.0,0.96,18,neutral_texture
Recon,17,126,1.3695652173913044,1.9263769422986865,4.746709169286397,6.900081752263922,92,185.0,15,12.333332511111166,0,0,,,0.0,1,0.37,0.065,0.01,0.01,0.035,6.371237829732276,1.0,5.0,1.0,3.0,0.88,17,neutral_texture
Recon,18,153,2.013157894736842,1.1227445013605264,4.747115654461192,7.06603857572805,76,173.0,15,11.533332564444496,3,2,,,0.0,0,0.235,0.06,0.075,0.075,0.09,5.9979764393853,1.0,9.0,1.0,8.0,0.96,9,neutral_texture
Recon,19,109,1.1978021978021978,1.3666931319592477,4.820478479313807,6.6659163145800235,91,185.0,17,10.882352301038098,0,0,,,0.0,1,0.455,0.065,0.01,0.01,0.035,6.366964064870908,1.0,5.0,1.0,3.0,0.88,12,neutral_texture
