model,seed,curiosity,w_epistemic,unique_viewpoints,scan_depth,sensory_entropy,neutral_sensory_entropy,viewpoint_entropy,unique_states,travel_distance,net_displacement,tortuosity,cycle_score,cycle_best_L,action_entropy,move_ratio,turn_ratio,turn_in_place_rate,blocked_forward_rate,true_stall_rate,revisit_rate,scan_events,hazard_contacts,boundary_hugging_fraction,internal_actuator_fraction,max_occupancy_fraction,occupancy_entropy,dwell_mean,dwell_median,dwell_p90,dwell_p99,dwell_max,vp_dwell_mean,vp_dwell_p90,vp_dwell_max,mean_valence,mean_arousal,mean_Ns,mean_bb_err,mean_precision_eff,mean_alpha_eff
random,9.5,0.0,0.0,84.05,2.5849781458194325,1.476252279280379,4.250602965014669,6.068813537107944,33.0,46.3,8.5,6.467433930527328,1.3,0.9,1.9881223752971142,0.24274999999999997,0.49000000000000005,0.49000000000000005,0.01125,0.2785,0.57975,75.0,19.4,0.13625,0.0,0.1135,4.5609747356454236,4.352048200060483,3.225,8.975,16.642999999999994,18.8,1.3862349868530999,2.1,5.35,,,0.5898486825611593,,,
Recon_epistemic,9.5,0.0,0.35,27.9,1.0558988743967397,0.5399890508420794,1.1233591323909529,1.3098735722219321,26.25,30.05,15.15,2.2385619108651906,199.8,1.9,0.07231168416918875,0.99,0.01,0.01,0.8397500000000001,0.8397500000000001,0.8605,0.0,21.15,0.9375,0.0,0.8412499999999999,1.289659883978863,10.716551835788078,1.0,6.975000000000006,133.53299999999984,168.05,10.261960130690781,6.730000000000004,168.0,,,0.5709935560274656,,,
Recon_curiosity,9.5,1.0,0.35,136.3,1.6891703548168078,1.8239390648768328,4.807983807776219,6.899597590437921,81.5,173.6,14.1,12.678498329992426,2.8,1.3,0.3918893135841342,0.93725,0.06275,0.06275,0.06925,0.06925,0.3185,0.95,17.65,0.932,0.0,0.068,6.071542243186512,1.153157123673846,1.0,1.0,4.716500000000001,7.95,1.0756370788689886,1.0,6.4,,,0.583316682088148,,,
Ipsundrum_curiosity,9.5,1.0,0.35,139.7,1.7432711167550985,1.8021356044074879,4.808886565733705,6.947837811422668,80.75,174.6,14.3,12.527688152972136,2.1,1.2,0.39712578922475456,0.93675,0.06325,0.06325,0.06375,0.06375,0.3015,1.1,16.35,0.9359999999999999,1.0,0.0655,6.056499495599157,1.146241506272984,1.0,1.0,4.616,7.65,1.068890656313449,1.0,6.0,,,0.703859252786073,,1.0,0.7282462406877894
Ipsundrum_Affect_no_curiosity,9.5,0.0,0.35,63.65,1.9511845216202115,0.08275300045423922,3.7093094458943505,4.873937821559965,33.55,84.05,11.85,7.728158557034983,42.4,2.55,1.290652294124897,0.5685,0.43150000000000005,0.43150000000000005,0.14825,0.14825,0.68175,52.85,0.05,0.292,1.0,0.2805,3.6949536739691937,2.816921615106171,1.15,3.060000000000001,27.84549999999998,47.05,1.2107914115832807,1.05,28.85,0.5258232187289116,0.1757505873320666,0.6829703987628355,1.4225303438132655,1.0875679913769427,0.8162453350615009
Ipsundrum_Affect_curiosity,9.5,1.0,0.35,138.0,2.0750786572533437,0.11068022507149919,4.566964121870821,6.7475725265263335,67.45,118.35,11.85,13.389062899141726,7.6,0.7,1.288467759784143,0.64025,0.35975,0.35975,0.0485,0.0485,0.31,31.35,0.05,0.35375,1.0,0.11100000000000002,5.503206032920019,1.7223154058451207,1.0,2.725,7.225999999999997,15.8,1.05674522800455,1.05,7.3,0.5282380374893207,0.17701688117347616,0.6819951710002894,1.415285887532038,1.088184959705141,0.8163675645837387
