task,model,horizon,mean_hazards,mean_time,success_rate,mean_min_dist,mean_final_dist,mean_forward,mean_unique,mean_Ns,mean_alpha,mean_valence,mean_arousal,n
gridworld,Recon,1,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,2,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,3,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,4,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,5,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,6,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,7,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,8,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,9,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,10,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,11,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,12,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
gridworld,Recon,13,14.3,171.8,0.5,0.6121320343559643,7.867668031551555,0.9326000000000001,0.2962,0.5379101704663473,,,,20
