task,model,horizon,seed,T,success,time_to_goal,hazard_contacts,min_dist_to_goal,final_dist_to_goal,forward_frac,turn_frac,stay_frac,unique_pos_frac,mean_Ns,mean_alpha_eff,mean_valence,mean_arousal
corridor,Recon,5,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,5,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,5,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,5,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,5,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,5,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,5,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,6,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,6,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,6,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,6,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,6,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,6,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,6,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,6,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,6,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,6,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,7,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,7,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,7,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,7,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,7,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,7,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,7,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,7,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,7,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,7,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,8,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,8,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,8,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,8,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,8,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,8,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,8,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,8,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,8,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,8,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,9,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,9,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,9,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,9,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,9,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,9,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,9,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,9,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,9,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,9,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,10,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,10,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,10,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,10,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,10,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,10,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,10,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,10,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,10,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,10,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,11,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,11,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,11,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,11,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,11,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,11,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,11,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,11,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,11,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,11,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,12,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,12,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,12,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,12,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,12,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,12,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
corridor,Recon,12,6,80,False,80,0,11.0,11.40175425099138,0.9875,0.0125,0.0,0.1,0.5000936078508074,,,
corridor,Recon,12,7,80,True,59,5,1.0,2.23606797749979,0.9,0.1,0.0,0.475,0.5374351805196161,,,
corridor,Recon,12,8,80,True,15,6,0.0,2.23606797749979,0.925,0.075,0.0,0.6,0.5444682883408696,,,
corridor,Recon,12,9,80,True,41,0,3.0,3.1622776601683795,0.975,0.025,0.0,0.25,0.5022261257678794,,,
corridor,Recon,13,0,80,False,80,0,2.0,2.8284271247461903,0.9125,0.0875,0.0,0.35,0.5034593208722943,,,
corridor,Recon,13,1,80,False,80,3,1.0,16.278820596099706,0.9375,0.0625,0.0,0.4125,0.524532441930287,,,
corridor,Recon,13,2,80,True,15,3,0.0,1.4142135623730951,0.95,0.05,0.0,0.2875,0.5225876438229995,,,
corridor,Recon,13,3,80,True,15,3,0.0,2.23606797749979,0.975,0.025,0.0,0.2375,0.5225510358892046,,,
corridor,Recon,13,4,80,True,15,3,0.0,2.23606797749979,0.9875,0.0125,0.0,0.2375,0.5225346709059531,,,
corridor,Recon,13,5,80,False,80,6,4.0,13.341664064126334,0.9,0.1,0.0,0.275,0.5435882998785538,,,
