task,model,horizon,mean_hazards,mean_time,success_rate,mean_min_dist,mean_final_dist,mean_forward,mean_unique,mean_Ns,mean_alpha,mean_valence,mean_arousal,n
corridor,Recon,1,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,2,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,3,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,4,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,5,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,6,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,7,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,8,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,9,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,10,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,11,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,12,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,13,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,14,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,15,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
corridor,Recon,16,3.05,50.0,0.55,3.3,7.487043878269977,0.940625,0.303125,0.5246608091066247,,,,20
