model,arch_seed,env_seed,hysteresis,residue,plasticity_open_mean,delta_w_norm_mean
perspective,0,0,0.10907601649714949,0.21172961548137736,0.4302134186362715,0.0
perspective,0,1,0.12082062776414904,0.22059883050776619,0.42995431298030146,0.0
perspective,0,2,0.12182285338886925,0.2217108661219934,0.4295811442782334,0.0
perspective,0,3,0.12137252166745524,0.22107212533983076,0.4296204776163395,0.0
perspective,1,0,0.05870122797664025,0.10778802580093522,0.4372696638964715,0.0
perspective,1,1,0.07058057424380969,0.11563703665965103,0.4372173655061343,0.0
perspective,1,2,0.06337596565401118,0.11107187103619548,0.43735785398513155,0.0
perspective,1,3,0.0642929991437915,0.11170602956630413,0.4373430168464847,0.0
perspective,2,0,0.08144866838242942,0.1548203338512009,0.4378029568938718,0.0
perspective,2,1,0.08345266223243338,0.15719185466154031,0.437783694614683,0.0
perspective,2,2,0.07565619187627216,0.14895170389975682,0.437837377563526,0.0
perspective,2,3,0.07566325490313038,0.14885872151680407,0.4378496267206876,0.0
perspective,3,0,0.0397063515585811,0.062283963989590456,0.4361598349797135,0.0
perspective,3,1,0.03987276125377397,0.06570458832047488,0.43661596512711925,0.0
perspective,3,2,0.036034132194831814,0.06373742703282352,0.43629967242495443,0.0
perspective,3,3,0.035170815622103585,0.06326863287730755,0.43631421287159966,0.0
perspective_plastic,0,0,0.10987186443693107,0.2133596034156019,0.4301806760154374,0.022483821827004893
perspective_plastic,0,1,0.1218746745928363,0.22265710695041066,0.4299154123394314,0.03659857278939438
perspective_plastic,0,2,0.12294516846780874,0.22382675026398036,0.42953467555927327,0.026964858754480483
perspective_plastic,0,3,0.12246578332088309,0.22316444076581446,0.4295755288507168,0.027692040447551688
perspective_plastic,1,0,0.05908227250769679,0.10858517168113148,0.43726912171140503,0.018198567492109755
perspective_plastic,1,1,0.07131192715755104,0.11694219579568624,0.43721669527108165,0.033642003629643986
perspective_plastic,1,2,0.06392639468539868,0.11206508436680007,0.43735714760140093,0.02062011198459135
perspective_plastic,1,3,0.06484172761728371,0.11271093531126701,0.4373424785407557,0.021590992276424602
perspective_plastic,2,0,0.0818276535244526,0.15560665047600064,0.4378027506379894,0.017843766754599675
perspective_plastic,2,1,0.08429520807109603,0.15858577481475264,0.4377829842239271,0.028851281326420272
perspective_plastic,2,2,0.07617897417164037,0.1498644907404821,0.43783733680272696,0.019714666526005308
perspective_plastic,2,3,0.07615614322611015,0.1497369939151352,0.4378497038658484,0.02015560258424752
perspective_plastic,3,0,0.039945142946910026,0.06282274859396136,0.4361577451808673,0.017394290333027865
perspective_plastic,3,1,0.04042387591814148,0.06654039784744498,0.43662052841013266,0.026900348299227453
perspective_plastic,3,2,0.03639341338494874,0.06433997339728943,0.436297995910393,0.01920583645278644
perspective_plastic,3,3,0.035530833088102697,0.06387257040607179,0.4363122745853706,0.019673977571577232
gw_lite,0,0,0.11589381823200001,0.23846301172446022,0.0,0.0
gw_lite,0,1,0.09711524551921968,0.21129109842403213,0.0,0.0
gw_lite,0,2,0.11717963513561393,0.23086771750302984,0.0,0.0
gw_lite,0,3,0.1269809187832289,0.23871009082343767,0.0,0.0
gw_lite,1,0,0.12808283445727794,0.1930822200380662,0.0,0.0
gw_lite,1,1,0.11623249319332728,0.1894345300076753,0.0,0.0
gw_lite,1,2,0.15934519957084825,0.18505029003008058,0.0,0.0
gw_lite,1,3,0.19492563951818634,0.19570973156498966,0.0,0.0
gw_lite,2,0,0.24471493594483226,0.37709495933134735,0.0,0.0
gw_lite,2,1,0.18335007910413512,0.3846387577558393,0.0,0.0
gw_lite,2,2,0.2125721834196242,0.35320232210340685,0.0,0.0
gw_lite,2,3,0.22112881798352815,0.3404560323166455,0.0,0.0
gw_lite,3,0,0.09208621292442623,0.18596028560928468,0.0,0.0
gw_lite,3,1,0.08294383906637487,0.19403380157591765,0.0,0.0
gw_lite,3,2,0.08060199143380635,0.16514233901739986,0.0,0.0
gw_lite,3,3,0.09177905563747253,0.13813884646821475,0.0,0.0
humphrey_barrett,0,0,0.2388589233348824,0.8693274373354447,0.0,0.0
humphrey_barrett,0,1,0.2638529177306296,0.8535418197319145,0.0,0.0
humphrey_barrett,0,2,0.25068679781223774,0.8701614432561398,0.0,0.0
humphrey_barrett,0,3,0.24705424274873472,0.8685053613733216,0.0,0.0
humphrey_barrett,1,0,0.2388589233348824,0.8693274373354447,0.0,0.0
humphrey_barrett,1,1,0.2638529177306296,0.8535418197319145,0.0,0.0
humphrey_barrett,1,2,0.25068679781223774,0.8701614432561398,0.0,0.0
humphrey_barrett,1,3,0.24705424274873472,0.8685053613733216,0.0,0.0
humphrey_barrett,2,0,0.2388589233348824,0.8693274373354447,0.0,0.0
humphrey_barrett,2,1,0.2638529177306296,0.8535418197319145,0.0,0.0
humphrey_barrett,2,2,0.25068679781223774,0.8701614432561398,0.0,0.0
humphrey_barrett,2,3,0.24705424274873472,0.8685053613733216,0.0,0.0
humphrey_barrett,3,0,0.2388589233348824,0.8693274373354447,0.0,0.0
humphrey_barrett,3,1,0.2638529177306296,0.8535418197319145,0.0,0.0
humphrey_barrett,3,2,0.25068679781223774,0.8701614432561398,0.0,0.0
humphrey_barrett,3,3,0.24705424274873472,0.8685053613733216,0.0,0.0
humphrey,0,0,0.2123168770494497,0.7893229644690413,0.0,0.0
humphrey,0,1,0.23394899198772062,0.7826986599770283,0.0,0.0
humphrey,0,2,0.2162453063661411,0.7922915692171058,0.0,0.0
humphrey,0,3,0.2167719186415508,0.7912302406299376,0.0,0.0
humphrey,1,0,0.2123168770494497,0.7893229644690413,0.0,0.0
humphrey,1,1,0.23394899198772062,0.7826986599770283,0.0,0.0
humphrey,1,2,0.2162453063661411,0.7922915692171058,0.0,0.0
humphrey,1,3,0.2167719186415508,0.7912302406299376,0.0,0.0
humphrey,2,0,0.2123168770494497,0.7893229644690413,0.0,0.0
humphrey,2,1,0.23394899198772062,0.7826986599770283,0.0,0.0
humphrey,2,2,0.2162453063661411,0.7922915692171058,0.0,0.0
humphrey,2,3,0.2167719186415508,0.7912302406299376,0.0,0.0
humphrey,3,0,0.2123168770494497,0.7893229644690413,0.0,0.0
humphrey,3,1,0.23394899198772062,0.7826986599770283,0.0,0.0
humphrey,3,2,0.2162453063661411,0.7922915692171058,0.0,0.0
humphrey,3,3,0.2167719186415508,0.7912302406299376,0.0,0.0
recon,0,0,0.0,0.0,0.0,0.0
recon,0,1,0.0,0.0,0.0,0.0
recon,0,2,0.0,0.0,0.0,0.0
recon,0,3,0.0,0.0,0.0,0.0
recon,1,0,0.0,0.0,0.0,0.0
recon,1,1,0.0,0.0,0.0,0.0
recon,1,2,0.0,0.0,0.0,0.0
recon,1,3,0.0,0.0,0.0,0.0
recon,2,0,0.0,0.0,0.0,0.0
recon,2,1,0.0,0.0,0.0,0.0
recon,2,2,0.0,0.0,0.0,0.0
recon,2,3,0.0,0.0,0.0,0.0
recon,3,0,0.0,0.0,0.0,0.0
recon,3,1,0.0,0.0,0.0,0.0
recon,3,2,0.0,0.0,0.0,0.0
recon,3,3,0.0,0.0,0.0,0.0
