model,scenic_rate_left,scenic_rate_right,n_left,n_right
Ipsundrum+affect,1.0,1.0,10,10
Ipsundrum+affect_readout_only,1.0,0.9,15,10
Ipsundrum+affect_modulation_only,0.9333333333333333,0.5,15,10
